date,Seria 1,Seria 2,Seria 3
250,1249,6250,2540
251,1250,6275,2550
252,1251,6300,2560
253,1252,6325,2570
254,1253,6350,2580
255,1254,6375,2590
256,1255,6400,2600
257,1256,6425,2610
258,1257,6450,2620
259,1258,6475,2630
260,1259,6500,2640
261,1260,6525,2650
262,1261,6550,2660
263,1262,6575,2670
264,1263,6600,2680
265,1264,6625,2690
266,1265,6650,2700
267,1266,6675,2710
268,1267,6700,2720
269,1268,6725,2730
270,1269,6750,2740
271,1270,6775,2750
272,1271,6800,2760
273,1272,6825,2770
274,1273,6850,2780
275,1274,6875,2790
276,1275,6900,2800
277,1276,6925,2810
278,1277,6950,2820
279,1278,6975,2830
280,1279,7000,2840
281,1280,7025,2850
282,1281,7050,2860
283,1282,7075,2870
284,1283,7100,2880
285,1284,7125,2890
286,1285,7150,2900
287,1286,7175,2910
288,1287,7200,2920
289,1288,7225,2930
290,1289,7250,2940
291,1290,7275,2950
292,1291,7300,2960
293,1292,7325,2970
294,1293,7350,2980
295,1294,7375,2990
296,1295,7400,3000
297,1296,7425,3010
298,1297,7450,3020
299,1298,7475,3030
300,1299,7500,3040
301,1300,7525,3050
302,1301,7550,3060
303,1302,7575,3070
304,1303,7600,3080
305,1304,7625,3090
306,1305,7650,3100
307,1306,7675,3110
308,1307,7700,3120
309,1308,7725,3130
310,1309,7750,3140
311,1310,7775,3150
312,1311,7800,3160
313,1312,7825,3170
314,1313,7850,3180
315,1314,7875,3190
316,1315,7900,3200
317,1316,7925,3210
318,1317,7950,3220
319,1318,7975,3230
320,1319,8000,3240
321,1320,8025,3250
322,1321,8050,3260
323,1322,8075,3270
324,1323,8100,3280
325,1324,8125,3290
326,1325,8150,3300
327,1326,8175,3310
328,1327,8200,3320
329,1328,8225,3330
330,1329,8250,3340
331,1330,8275,3350
332,1331,8300,3360
333,1332,8325,3370
334,1333,8350,3380
335,1334,8375,3390
336,1335,8400,3400
337,1336,8425,3410
338,1337,8450,3420
339,1338,8475,3430
340,1339,8500,3440
341,1340,8525,3450
342,1341,8550,3460
343,1342,8575,3470
344,1343,8600,3480
345,1344,8625,3490
346,1345,8650,3500
347,1346,8675,3510
348,1347,8700,3520
349,1348,8725,3530
350,1349,8750,3540
351,1350,8775,3550
352,1351,8800,3560
353,1352,8825,3570
354,1353,8850,3580
355,1354,8875,3590
356,1355,8900,3600
357,1356,8925,3610
358,1357,8950,3620
359,1358,8975,3630
360,1359,9000,3640
361,1360,9025,3650
362,1361,9050,3660
363,1362,9075,3670
364,1363,9100,3680
365,1364,9125,3690
366,1365,9150,3700
367,1366,9175,3710
368,1367,9200,3720
369,1368,9225,3730
370,1369,9250,3740
371,1370,9275,3750
372,1371,9300,3760
373,1372,9325,3770
374,1373,9350,3780
375,1374,9375,3790
376,1375,9400,3800
377,1376,9425,3810
378,1377,9450,3820
379,1378,9475,3830
380,1379,9500,3840
381,1380,9525,3850
382,1381,9550,3860
383,1382,9575,3870
384,1383,9600,3880
385,1384,9625,3890
386,1385,9650,3900
387,1386,9675,3910
388,1387,9700,3920
389,1388,9725,3930
390,1389,9750,3940
391,1390,9775,3950
392,1391,9800,3960
393,1392,9825,3970
394,1393,9850,3980
395,1394,9875,3990
396,1395,9900,4000
397,1396,9925,4010
398,1397,9950,4020
399,1398,9975,4030
400,1399,10000,4040
401,1400,10025,4050
402,1401,10050,4060
403,1402,10075,4070
404,1403,10100,4080
405,1404,10125,4090
406,1405,10150,4100
407,1406,10175,4110
408,1407,10200,4120
409,1408,10225,4130
410,1409,10250,4140
411,1410,10275,4150
412,1411,10300,4160
413,1412,10325,4170
414,1413,10350,4180
415,1414,10375,4190
416,1415,10400,4200
417,1416,10425,4210
418,1417,10450,4220
419,1418,10475,4230
420,1419,10500,4240
421,1420,10525,4250
422,1421,10550,4260
423,1422,10575,4270
424,1423,10600,4280
425,1424,10625,4290
426,1425,10650,4300
427,1426,10675,4310
428,1427,10700,4320
429,1428,10725,4330
430,1429,10750,4340
431,1430,10775,4350
432,1431,10800,4360
433,1432,10825,4370
434,1433,10850,4380
435,1434,10875,4390
436,1435,10900,4400
437,1436,10925,4410
438,1437,10950,4420
439,1438,10975,4430
440,1439,11000,4440
441,1440,11025,4450
442,1441,11050,4460
443,1442,11075,4470
444,1443,11100,4480
445,1444,11125,4490
446,1445,11150,4500
447,1446,11175,4510
448,1447,11200,4520
449,1448,11225,4530
450,1449,11250,4540
451,1450,11275,4550
452,1451,11300,4560
453,1452,11325,4570
454,1453,11350,4580
455,1454,11375,4590
456,1455,11400,4600
457,1456,11425,4610
458,1457,11450,4620
459,1458,11475,4630
460,1459,11500,4640
461,1460,11525,4650
462,1461,11550,4660
463,1462,11575,4670
464,1463,11600,4680
465,1464,11625,4690
466,1465,11650,4700
467,1466,11675,4710
468,1467,11700,4720
469,1468,11725,4730
470,1469,11750,4740
471,1470,11775,4750
472,1471,11800,4760
473,1472,11825,4770
474,1473,11850,4780
475,1474,11875,4790
476,1475,11900,4800
477,1476,11925,4810
478,1477,11950,4820
479,1478,11975,4830
480,1479,12000,4840
481,1480,12025,4850
482,1481,12050,4860
483,1482,12075,4870
484,1483,12100,4880
485,1484,12125,4890
486,1485,12150,4900
487,1486,12175,4910
488,1487,12200,4920
489,1488,12225,4930
490,1489,12250,4940
491,1490,12275,4950
492,1491,12300,4960
493,1492,12325,4970
494,1493,12350,4980
495,1494,12375,4990
496,1495,12400,5000
497,1496,12425,5010
498,1497,12450,5020
499,1498,12475,5030
500,1499,12500,5040
501,1500,12525,5050
502,1501,12550,5060
503,1502,12575,5070
504,1503,12600,5080
505,1504,12625,5090
506,1505,12650,5100
507,1506,12675,5110
508,1507,12700,5120
509,1508,12725,5130
510,1509,12750,5140
511,1510,12775,5150
512,1511,12800,5160
513,1512,12825,5170
514,1513,12850,5180
515,1514,12875,5190
516,1515,12900,5200
517,1516,12925,5210
518,1517,12950,5220
519,1518,12975,5230
520,1519,13000,5240
521,1520,13025,5250
522,1521,13050,5260
523,1522,13075,5270
524,1523,13100,5280
525,1524,13125,5290
526,1525,13150,5300
527,1526,13175,5310
528,1527,13200,5320
529,1528,13225,5330
530,1529,13250,5340
531,1530,13275,5350
532,1531,13300,5360
533,1532,13325,5370
534,1533,13350,5380
535,1534,13375,5390
536,1535,13400,5400
537,1536,13425,5410
538,1537,13450,5420
539,1538,13475,5430
540,1539,13500,5440
541,1540,13525,5450
542,1541,13550,5460
543,1542,13575,5470
544,1543,13600,5480
545,1544,13625,5490
546,1545,13650,5500
547,1546,13675,5510
548,1547,13700,5520
549,1548,13725,5530
550,1549,13750,5540
551,1550,13775,5550
552,1551,13800,5560
553,1552,13825,5570
554,1553,13850,5580
555,1554,13875,5590
556,1555,13900,5600
557,1556,13925,5610
558,1557,13950,5620
559,1558,13975,5630
560,1559,14000,5640
561,1560,14025,5650
562,1561,14050,5660
563,1562,14075,5670
564,1563,14100,5680
565,1564,14125,5690
566,1565,14150,5700
567,1566,14175,5710
568,1567,14200,5720
569,1568,14225,5730
570,1569,14250,5740
571,1570,14275,5750
572,1571,14300,5760
573,1572,14325,5770
574,1573,14350,5780
575,1574,14375,5790
576,1575,14400,5800
577,1576,14425,5810
578,1577,14450,5820
579,1578,14475,5830
580,1579,14500,5840
581,1580,14525,5850
582,1581,14550,5860
583,1582,14575,5870
584,1583,14600,5880
585,1584,14625,5890
586,1585,14650,5900
587,1586,14675,5910
588,1587,14700,5920
589,1588,14725,5930
590,1589,14750,5940
591,1590,14775,5950
592,1591,14800,5960
593,1592,14825,5970
594,1593,14850,5980
595,1594,14875,5990
596,1595,14900,6000
597,1596,14925,6010
598,1597,14950,6020
599,1598,14975,6030
600,1599,15000,6040
601,1600,15025,6050
602,1601,15050,6060
603,1602,15075,6070
604,1603,15100,6080
605,1604,15125,6090
606,1605,15150,6100
607,1606,15175,6110
608,1607,15200,6120
609,1608,15225,6130
610,1609,15250,6140
611,1610,15275,6150
612,1611,15300,6160
613,1612,15325,6170
614,1613,15350,6180
615,1614,15375,6190
616,1615,15400,6200
617,1616,15425,6210
618,1617,15450,6220
619,1618,15475,6230
620,1619,15500,6240
621,1620,15525,6250
622,1621,15550,6260
623,1622,15575,6270
624,1623,15600,6280
625,1624,15625,6290
626,1625,15650,6300
627,1626,15675,6310
628,1627,15700,6320
629,1628,15725,6330
630,1629,15750,6340
631,1630,15775,6350
632,1631,15800,6360
633,1632,15825,6370
634,1633,15850,6380
635,1634,15875,6390
636,1635,15900,6400
637,1636,15925,6410
638,1637,15950,6420
639,1638,15975,6430
640,1639,16000,6440
641,1640,16025,6450
642,1641,16050,6460
643,1642,16075,6470
644,1643,16100,6480
645,1644,16125,6490
646,1645,16150,6500
647,1646,16175,6510
648,1647,16200,6520
649,1648,16225,6530
650,1649,16250,6540
651,1650,16275,6550
652,1651,16300,6560
653,1652,16325,6570
654,1653,16350,6580
655,1654,16375,6590
656,1655,16400,6600
657,1656,16425,6610
658,1657,16450,6620
659,1658,16475,6630
660,1659,16500,6640
661,1660,16525,6650
662,1661,16550,6660
663,1662,16575,6670
664,1663,16600,6680
665,1664,16625,6690
666,1665,16650,6700
667,1666,16675,6710
668,1667,16700,6720
669,1668,16725,6730
670,1669,16750,6740
671,1670,16775,6750
672,1671,16800,6760
673,1672,16825,6770
674,1673,16850,6780
675,1674,16875,6790
676,1675,16900,6800
677,1676,16925,6810
678,1677,16950,6820
679,1678,16975,6830
680,1679,17000,6840
681,1680,17025,6850
682,1681,17050,6860
683,1682,17075,6870
684,1683,17100,6880
685,1684,17125,6890
686,1685,17150,6900
687,1686,17175,6910
688,1687,17200,6920
689,1688,17225,6930
690,1689,17250,6940
691,1690,17275,6950
692,1691,17300,6960
693,1692,17325,6970
694,1693,17350,6980
695,1694,17375,6990
696,1695,17400,7000
697,1696,17425,7010
698,1697,17450,7020
699,1698,17475,7030
700,1699,17500,7040
701,1700,17525,7050
702,1701,17550,7060
703,1702,17575,7070
704,1703,17600,7080
705,1704,17625,7090
706,1705,17650,7100
707,1706,17675,7110
708,1707,17700,7120
709,1708,17725,7130
710,1709,17750,7140
711,1710,17775,7150
712,1711,17800,7160
713,1712,17825,7170
714,1713,17850,7180
715,1714,17875,7190
716,1715,17900,7200
717,1716,17925,7210
718,1717,17950,7220
719,1718,17975,7230
720,1719,18000,7240
721,1720,18025,7250
722,1721,18050,7260
723,1722,18075,7270
724,1723,18100,7280
725,1724,18125,7290
726,1725,18150,7300
727,1726,18175,7310
728,1727,18200,7320
729,1728,18225,7330
730,1729,18250,7340
731,1730,18275,7350
732,1731,18300,7360
733,1732,18325,7370
734,1733,18350,7380
735,1734,18375,7390
736,1735,18400,7400
737,1736,18425,7410
738,1737,18450,7420
739,1738,18475,7430
740,1739,18500,7440
741,1740,18525,7450
742,1741,18550,7460
743,1742,18575,7470
744,1743,18600,7480
745,1744,18625,7490
746,1745,18650,7500
747,1746,18675,7510
748,1747,18700,7520
749,1748,18725,7530
750,1749,18750,7540
751,1750,18775,7550
752,1751,18800,7560
753,1752,18825,7570
754,1753,18850,7580
755,1754,18875,7590
756,1755,18900,7600
757,1756,18925,7610
758,1757,18950,7620
759,1758,18975,7630
760,1759,19000,7640
761,1760,19025,7650
762,1761,19050,7660
763,1762,19075,7670
764,1763,19100,7680
765,1764,19125,7690
766,1765,19150,7700
767,1766,19175,7710
768,1767,19200,7720
769,1768,19225,7730
770,1769,19250,7740
771,1770,19275,7750
772,1771,19300,7760
773,1772,19325,7770
774,1773,19350,7780
775,1774,19375,7790
776,1775,19400,7800
777,1776,19425,7810
778,1777,19450,7820
779,1778,19475,7830
780,1779,19500,7840
781,1780,19525,7850
782,1781,19550,7860
783,1782,19575,7870
784,1783,19600,7880
785,1784,19625,7890
786,1785,19650,7900
787,1786,19675,7910
788,1787,19700,7920
789,1788,19725,7930
790,1789,19750,7940
791,1790,19775,7950
792,1791,19800,7960
793,1792,19825,7970
794,1793,19850,7980
795,1794,19875,7990
796,1795,19900,8000
797,1796,19925,8010
798,1797,19950,8020
799,1798,19975,8030
800,1799,20000,8040
801,1800,20025,8050
802,1801,20050,8060
803,1802,20075,8070
804,1803,20100,8080
805,1804,20125,8090
806,1805,20150,8100
807,1806,20175,8110
808,1807,20200,8120
809,1808,20225,8130
810,1809,20250,8140
811,1810,20275,8150
812,1811,20300,8160
813,1812,20325,8170
814,1813,20350,8180
815,1814,20375,8190
816,1815,20400,8200
817,1816,20425,8210
818,1817,20450,8220
819,1818,20475,8230
820,1819,20500,8240
821,1820,20525,8250
822,1821,20550,8260
823,1822,20575,8270
824,1823,20600,8280
825,1824,20625,8290
826,1825,20650,8300
827,1826,20675,8310
828,1827,20700,8320
829,1828,20725,8330
830,1829,20750,8340
831,1830,20775,8350
832,1831,20800,8360
833,1832,20825,8370
834,1833,20850,8380
835,1834,20875,8390
836,1835,20900,8400
837,1836,20925,8410
838,1837,20950,8420
839,1838,20975,8430
840,1839,21000,8440
841,1840,21025,8450
842,1841,21050,8460
843,1842,21075,8470
844,1843,21100,8480
845,1844,21125,8490
846,1845,21150,8500
847,1846,21175,8510
848,1847,21200,8520
849,1848,21225,8530
850,1849,21250,8540
851,1850,21275,8550
852,1851,21300,8560
853,1852,21325,8570
854,1853,21350,8580
855,1854,21375,8590
856,1855,21400,8600
857,1856,21425,8610
858,1857,21450,8620
859,1858,21475,8630
860,1859,21500,8640
861,1860,21525,8650
862,1861,21550,8660
863,1862,21575,8670
864,1863,21600,8680
865,1864,21625,8690
866,1865,21650,8700
867,1866,21675,8710
868,1867,21700,8720
869,1868,21725,8730
870,1869,21750,8740
871,1870,21775,8750
872,1871,21800,8760
873,1872,21825,8770
874,1873,21850,8780
875,1874,21875,8790
876,1875,21900,8800
877,1876,21925,8810
878,1877,21950,8820
879,1878,21975,8830
880,1879,22000,8840
881,1880,22025,8850
882,1881,22050,8860
883,1882,22075,8870
884,1883,22100,8880
885,1884,22125,8890
886,1885,22150,8900
887,1886,22175,8910
888,1887,22200,8920
889,1888,22225,8930
890,1889,22250,8940
891,1890,22275,8950
892,1891,22300,8960
893,1892,22325,8970
894,1893,22350,8980
895,1894,22375,8990
896,1895,22400,9000
897,1896,22425,9010
898,1897,22450,9020
899,1898,22475,9030
900,1899,22500,9040
901,1900,22525,9050
902,1901,22550,9060
903,1902,22575,9070
904,1903,22600,9080
905,1904,22625,9090
906,1905,22650,9100
907,1906,22675,9110
908,1907,22700,9120
909,1908,22725,9130
910,1909,22750,9140
911,1910,22775,9150
912,1911,22800,9160
913,1912,22825,9170
914,1913,22850,9180
915,1914,22875,9190
916,1915,22900,9200
917,1916,22925,9210
918,1917,22950,9220
919,1918,22975,9230
920,1919,23000,9240
921,1920,23025,9250
922,1921,23050,9260
923,1922,23075,9270
924,1923,23100,9280
925,1924,23125,9290
926,1925,23150,9300
927,1926,23175,9310
928,1927,23200,9320
929,1928,23225,9330
930,1929,23250,9340
931,1930,23275,9350
932,1931,23300,9360
933,1932,23325,9370
934,1933,23350,9380
935,1934,23375,9390
936,1935,23400,9400
937,1936,23425,9410
938,1937,23450,9420
939,1938,23475,9430
940,1939,23500,9440
941,1940,23525,9450
942,1941,23550,9460
943,1942,23575,9470
944,1943,23600,9480
945,1944,23625,9490
946,1945,23650,9500
947,1946,23675,9510
948,1947,23700,9520
949,1948,23725,9530
950,1949,23750,9540
951,1950,23775,9550
952,1951,23800,9560
953,1952,23825,9570
954,1953,23850,9580
955,1954,23875,9590
956,1955,23900,9600
957,1956,23925,9610
958,1957,23950,9620
959,1958,23975,9630
960,1959,24000,9640
961,1960,24025,9650
962,1961,24050,9660
963,1962,24075,9670
964,1963,24100,9680
965,1964,24125,9690
966,1965,24150,9700
967,1966,24175,9710
968,1967,24200,9720
969,1968,24225,9730
970,1969,24250,9740
971,1970,24275,9750
972,1971,24300,9760
973,1972,24325,9770
974,1973,24350,9780
975,1974,24375,9790
976,1975,24400,9800
977,1976,24425,9810
978,1977,24450,9820
979,1978,24475,9830
980,1979,24500,9840
981,1980,24525,9850
982,1981,24550,9860
983,1982,24575,9870
984,1983,24600,9880
985,1984,24625,9890
986,1985,24650,9900
987,1986,24675,9910
988,1987,24700,9920
989,1988,24725,9930
990,1989,24750,9940
991,1990,24775,9950
992,1991,24800,9960
993,1992,24825,9970
994,1993,24850,9980
995,1994,24875,9990
996,1995,24900,10000
997,1996,24925,10010
998,1997,24950,10020
999,1998,24975,10030
